game_id,tour,issue_type,endpoint,status,payload_size_or_count,local_state,notes
d5a85641-450c-44a8-886d-63fca96014e9,1,em_events_missing,https://sota.id/em/d5a85641-450c-44a8-886d-63fca96014e9-list.json,200,0,local_events=0 score=2:0,SOTA list endpoint returns empty array
1d7fe887-a7ba-4646-8d56-30c791b81aa6,1,em_events_missing,https://sota.id/em/1d7fe887-a7ba-4646-8d56-30c791b81aa6-list.json,200,0,local_events=0 score=2:1,SOTA list endpoint returns empty array
47e35c50-c9f6-451e-982e-31baa104570e,1,em_events_missing,https://sota.id/em/47e35c50-c9f6-451e-982e-31baa104570e-list.json,200,0,local_events=0 score=0:0,SOTA list endpoint returns empty array
fb9046af-c339-4045-a572-ad6dbc67992a,1,em_events_missing,https://sota.id/em/fb9046af-c339-4045-a572-ad6dbc67992a-list.json,404,,local_events=0 score=2:0,SOTA list endpoint unavailable
4798d3ca-92f2-4568-a4a4-6f312e03f86f,1,em_events_missing,https://sota.id/em/4798d3ca-92f2-4568-a4a4-6f312e03f86f-list.json,404,,local_events=0 score=1:1,SOTA list endpoint unavailable
db356008-d1a1-4f09-9310-afedda6aa6d1,1,em_events_missing,https://sota.id/em/db356008-d1a1-4f09-9310-afedda6aa6d1-list.json,200,0,local_events=0 score=1:1,SOTA list endpoint returns empty array
31762858-c5eb-4434-90d1-8548f67abb2f,2,em_events_missing,https://sota.id/em/31762858-c5eb-4434-90d1-8548f67abb2f-list.json,404,,local_events=0 score=2:1,SOTA list endpoint unavailable
6667129e-fee1-43d6-8f04-08feabdcea38,2,em_events_missing,https://sota.id/em/6667129e-fee1-43d6-8f04-08feabdcea38-list.json,404,,local_events=0 score=4:0,SOTA list endpoint unavailable
84baa252-cac2-420c-a455-5a43cdfe1cba,2,em_events_missing,https://sota.id/em/84baa252-cac2-420c-a455-5a43cdfe1cba-list.json,404,,local_events=0 score=0:0,SOTA list endpoint unavailable
988919bb-722c-410b-9d7e-0601aaf7246d,2,em_events_missing,https://sota.id/em/988919bb-722c-410b-9d7e-0601aaf7246d-list.json,404,,local_events=0 score=0:0,SOTA list endpoint unavailable
73a27a4e-cb05-4900-8a78-4207f5a984f1,2,em_events_missing,https://sota.id/em/73a27a4e-cb05-4900-8a78-4207f5a984f1-list.json,404,,local_events=0 score=2:1,SOTA list endpoint unavailable
