game_id,tour,issue_type,endpoint,status,payload_size_or_count,local_state,notes
e3cbc22f-b7dc-49d9-9fb4-d7283753fa7e,1,em_team_missing_ids,https://sota.id/em/e3cbc22f-b7dc-49d9-9fb4-d7283753fa7e-team-home.json | https://sota.id/em/e3cbc22f-b7dc-49d9-9fb4-d7283753fa7e-team-away.json,200/200,home_ids=0/17;away_ids=0/18,starters=0-0,Both team payloads have no player id values
3fd7adb8-b74c-4e77-82c0-aeb07f514fd0,1,em_team_missing_ids,https://sota.id/em/3fd7adb8-b74c-4e77-82c0-aeb07f514fd0-team-home.json | https://sota.id/em/3fd7adb8-b74c-4e77-82c0-aeb07f514fd0-team-away.json,200/200,home_ids=0/11;away_ids=0/20,starters=14-15,Both team payloads have no player id values
fe594009-9cb6-4a04-88e5-c2414630368e,1,em_team_missing_ids,https://sota.id/em/fe594009-9cb6-4a04-88e5-c2414630368e-team-home.json | https://sota.id/em/fe594009-9cb6-4a04-88e5-c2414630368e-team-away.json,200/200,home_ids=0/20;away_ids=0/15,starters=11-11,Both team payloads have no player id values
5ce37304-a918-473d-ab64-b66e1e2b0157,1,em_team_missing_ids,https://sota.id/em/5ce37304-a918-473d-ab64-b66e1e2b0157-team-home.json | https://sota.id/em/5ce37304-a918-473d-ab64-b66e1e2b0157-team-away.json,200/200,home_ids=0/19;away_ids=0/18,starters=11-13,Both team payloads have no player id values
c3968b8d-8cb3-4479-8405-3827bc5d73d6,2,em_team_missing_ids,https://sota.id/em/c3968b8d-8cb3-4479-8405-3827bc5d73d6-team-home.json | https://sota.id/em/c3968b8d-8cb3-4479-8405-3827bc5d73d6-team-away.json,200/200,home_ids=0/17;away_ids=0/18,starters=11-13,Both team payloads have no player id values
ef4ebb32-3bf4-45c2-a022-8b385f2a507a,2,em_team_missing_ids,https://sota.id/em/ef4ebb32-3bf4-45c2-a022-8b385f2a507a-team-home.json | https://sota.id/em/ef4ebb32-3bf4-45c2-a022-8b385f2a507a-team-away.json,200/200,home_ids=0/18;away_ids=0/20,starters=13-11,Both team payloads have no player id values
4a36f639-f793-43e1-877d-799e761ab65a,2,em_team_missing_ids,https://sota.id/em/4a36f639-f793-43e1-877d-799e761ab65a-team-home.json | https://sota.id/em/4a36f639-f793-43e1-877d-799e761ab65a-team-away.json,200/200,home_ids=0/23;away_ids=0/17,starters=13-11,Both team payloads have no player id values
64a10c1e-e17c-4fb5-8bfd-1821f8402120,3,em_team_missing_ids,https://sota.id/em/64a10c1e-e17c-4fb5-8bfd-1821f8402120-team-home.json | https://sota.id/em/64a10c1e-e17c-4fb5-8bfd-1821f8402120-team-away.json,200/200,home_ids=0/17;away_ids=0/18,starters=0-0,Both team payloads have no player id values
10534db5-baf9-4ff6-bb16-979b79a6001e,3,em_team_missing_ids,https://sota.id/em/10534db5-baf9-4ff6-bb16-979b79a6001e-team-home.json | https://sota.id/em/10534db5-baf9-4ff6-bb16-979b79a6001e-team-away.json,200/200,home_ids=0/21;away_ids=0/20,starters=0-0,Both team payloads have no player id values
7cb2fc65-93f9-4f42-b871-bfc61a38cbd5,3,em_team_missing_ids,https://sota.id/em/7cb2fc65-93f9-4f42-b871-bfc61a38cbd5-team-home.json | https://sota.id/em/7cb2fc65-93f9-4f42-b871-bfc61a38cbd5-team-away.json,200/200,home_ids=0/29;away_ids=0/19,starters=0-0,Both team payloads have no player id values
